entry_id,group,historical_path,mechanism,mix_percent_group,note,assumed_vocabulary_for_lexical_context_only
jhu_imerse_dvrk:04,jhu_imerse_dvrk,Surgical/JHU/suturebot_tissue_2,ASSUMED_SUTUREBOT_FAMILY,34.98,"Historical JHU/SutureBot-family training subset absent under this name in current public Open-H. Reasonable lexical assumption: task vocabulary is a subset of {knot tying, needle pickup, needle throw}; exact per-task frame counts are unknown and are not fabricated.",knot tying | needle pickup | needle throw
jhu_imerse_dvrk:06,jhu_imerse_dvrk,Surgical/JHU/suturing_Jesse_processed_fix,ASSUMED_SUTUREBOT_FAMILY,34.98,"Historical JHU/SutureBot-family training subset absent under this name in current public Open-H. Reasonable lexical assumption: task vocabulary is a subset of {knot tying, needle pickup, needle throw}; exact per-task frame counts are unknown and are not fabricated.",knot tying | needle pickup | needle throw
jhu_imerse_dvrk:08,jhu_imerse_dvrk,Surgical/JHU/jesse_pickup_only,ASSUMED_SUTUREBOT_FAMILY,34.98,"Historical JHU/SutureBot-family training subset absent under this name in current public Open-H. Reasonable lexical assumption: task vocabulary is a subset of {knot tying, needle pickup, needle throw}; exact per-task frame counts are unknown and are not fabricated.",knot tying | needle pickup | needle throw
ustc_torin_tuodao:00,ustc_torin_tuodao,Surgical/USTC/exvivo_liver_sep,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:01,ustc_torin_tuodao,Surgical/USTC/grasp_on_liver,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:02,ustc_torin_tuodao,Surgical/USTC/invivo_liver_sep,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:03,ustc_torin_tuodao,Surgical/USTC/ustc_knot_tying,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:04,ustc_torin_tuodao,Surgical/USTC/Needle_handover,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:05,ustc_torin_tuodao,Surgical/USTC/needle_pickup,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
ustc_torin_tuodao:06,ustc_torin_tuodao,Surgical/USTC/tissue_lifting,MISSING_DIRECT_TEXT,3.69,Confirmed USTC GR00T-H training entry absent from current public Open-H. Language was per-frame instruction.text; exact strings unavailable.,
